X 19
Y 20
O,O,O, , ,O,O, , , , , , , , , , , , ,
O,O,O, , , , , , , , , , , , ,N,N,N, ,
O,N,N, , , ,O,O,O,O,O,O, , , ,N,N,N, ,
O,N,N, , ,O,O, ,O, , , , ,O, , ,N,N, ,
 , , , , , , , , , , , , ,O,O, , , , ,
 , , , ,N, , , ,O, , , , , , , , , , ,
 , , ,N,N,N, , ,N, , , , , , , , , , ,
 , , , ,N, , , ,N, , , , , , , , , , ,
 , , , , , , , ,O, , , , , ,O, , , , ,
 , , ,O,O,O,O,O,O,O,O,O, ,O,O,N,N, , ,
 , , , ,O,O, ,O,O,O,N,N, ,O, ,O, , , ,
 , , , , ,O, , ,O,O,O,O,O, , ,O, , , ,
 , , , , , , , ,N,N,N, , ,O,O, , , , ,
 , , ,O, , , , , , , , , ,O, , , , , ,
 , , ,O,O, , , , , , , , , , , , ,O,O,
 , , ,O,O,O,O,O,O,O, , , , , ,C, ,O,O,
N, , , , , , , ,O,O,O,O, , , , ,O,O,O,
N,N, , , , , , , , , , , , , ,O,O,O,O,
N,N, , , , , , , , , , , , , ,N,O,O,O,
N,N, , , , , , , , , , , , , , ,O,O,O,
